id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;4;41.8975;34.0000;0.6667;0.1933;5.1000;1.9375;9 19 26 30
100;7;49.8852;34.0000;2.6667;0.8400;10.2000;2.1786;7 11 19 23 26 28 36
101;4;44.2667;34.0000;2.6667;0.0000;5.1000;2.5000;11 19 26 28
102;4;44.2483;34.0000;1.6667;0.6067;5.1000;2.8750;7 23 26 36
106;4;43.6208;34.0000;1.3333;0.0000;5.1000;3.1875;16 22 26 28
107;4;44.3708;34.0000;2.8333;0.0000;5.1000;2.4375;7 19 26 36
110;3;42.6000;34.0000;0.5000;0.0000;5.1000;3.0000;1 26 38
111;7;50.2350;34.0000;2.3333;0.9517;10.2000;2.7500;7 11 19 26 28 33 36
112;1;42.9000;38.0000;1.0000;0.0000;1.9000;2.0000;13
113;4;42.4475;34.0000;0.8333;0.5767;5.1000;1.9375;7 19 26 33
114;3;43.3300;34.0000;2.3333;0.1467;5.1000;1.7500;13 19 38
117;4;44.3408;34.0000;2.0000;0.6783;5.1000;2.5625;13 19 26 28
118;5;45.2267;34.0000;2.2500;0.1267;6.8000;2.0500;11 19 23 26 36
120;8;60.2143;34.0000;1.9643;9.0250;13.6000;1.6250;1 7 11 19 23 26 28 36
121;4;41.8292;34.0000;0.6667;0.0000;5.1000;2.0625;16 22 26 30
123;4;42.9950;34.0000;1.6667;0.1033;5.1000;2.1250;13 21 26 36
124;4;43.6142;34.0000;2.0000;0.5767;5.1000;1.9375;7 19 26 33
125;8;60.6071;34.0000;1.8571;9.0250;13.6000;2.1250;1 7 11 19 23 26 28 36
126;7;52.1114;34.0000;4.0000;0.8400;10.2000;3.0714;7 11 19 23 26 28 36
127;4;43.3292;34.0000;1.6667;0.0000;5.1000;2.5625;14 19 26 32
130;5;46.5150;34.0000;2.7500;0.0650;6.8000;2.9000;11 19 26 36 37
15;4;43.7667;34.0000;1.6667;0.0000;5.1000;3.0000;11 19 26 28
18;8;61.4821;34.0000;1.8571;9.0250;13.6000;3.0000;1 7 11 19 23 26 28 36
19;4;44.5375;34.0000;2.5000;0.0000;5.1000;2.9375;7 20 26 28
2;4;41.5167;34.0000;0.6667;0.0000;5.1000;1.7500;13 22 26 30
21;4;42.7042;34.0000;0.6667;0.0000;5.1000;2.9375;11 20 26 34
23;6;50.2983;34.0000;1.4000;2.0733;10.2000;2.6250;1 7 11 19 26 28
24;4;44.4750;34.0000;2.0000;0.0000;5.1000;3.3750;7 22 26 28
27;3;41.1000;34.0000;0.3333;0.0000;5.1000;1.6667;11 22 30
28;4;42.6483;34.0000;1.1667;0.0067;5.1000;2.3750;8 22 26 36
29;4;42.1208;34.0000;0.3333;0.0000;5.1000;2.6875;13 20 26 36
3;7;51.1471;34.0000;3.0000;0.8400;10.2000;3.1071;7 11 19 23 26 28 36
31;7;51.1440;34.0000;2.5833;0.6250;11.9000;2.0357;1 7 11 23 26 28 36
32;3;45.1833;34.0000;3.0000;0.0000;5.1000;3.0833;4 26 28
33;6;49.2117;34.0000;1.7000;0.8950;10.2000;2.4167;1 7 19 26 28 36
34;4;43.0583;34.0000;2.3333;0.0000;5.1000;1.6250;11 19 26 28
35;3;41.0167;34.0000;0.5000;0.0000;5.1000;1.4167;14 24 38
36;4;42.3500;34.0000;1.0000;0.0000;5.1000;2.2500;11 19 26 28
37;4;43.6000;34.0000;1.5000;0.0000;5.1000;3.0000;7 21 26 28
41;3;41.4333;34.0000;0.6667;0.0000;5.1000;1.6667;7 18 30
42;7;51.1829;34.0000;4.0000;0.8400;10.2000;2.1429;7 11 19 23 26 28 36
45;3;41.6000;34.0000;0.3333;0.0000;5.1000;2.1667;11 21 30
46;3;44.0167;34.0000;3.6667;0.0000;5.1000;1.2500;7 25 38
48;7;50.3262;34.0000;2.1667;1.0667;10.2000;2.8929;7 11 19 26 28 36 38
49;3;41.2667;34.0000;0.3333;0.0000;5.1000;1.8333;13 21 37
5;4;44.2250;34.0000;2.0000;0.0000;5.1000;3.1250;11 19 26 28
53;7;51.7543;34.0000;4.0000;0.8400;10.2000;2.7143;7 11 19 23 26 28 36
54;8;60.2768;34.0000;1.2143;9.0250;13.6000;2.4375;1 7 11 19 23 26 28 36
56;8;61.2196;34.0000;2.0000;8.9633;13.6000;2.6562;1 7 11 19 26 28 36 37
57;4;46.2808;34.0000;3.6667;0.5767;5.1000;2.9375;7 19 26 33
58;7;49.0519;34.0000;1.8333;0.8400;10.2000;2.1786;7 11 19 23 26 28 36
59;4;42.4125;34.0000;1.0000;0.0000;5.1000;2.3125;16 21 26 28
6;4;43.6417;34.0000;1.6667;0.0000;5.1000;2.8750;12 22 26 28
61;4;45.7350;34.0000;1.3333;0.4767;6.8000;3.1250;1 7 26 38
62;4;43.9475;34.0000;1.3333;0.5767;5.1000;2.9375;7 19 26 33
63;3;41.2667;34.0000;0.3333;0.0000;5.1000;1.8333;11 19 38
65;7;49.6226;34.0000;1.5000;0.9583;10.2000;2.9643;7 11 19 20 26 28 36
67;4;42.7042;34.0000;1.1667;0.0000;5.1000;2.4375;11 21 26 36
68;3;40.6000;34.0000;0.1667;0.0000;5.1000;1.3333;14 24 32
7;4;44.0583;34.0000;2.3333;0.0000;5.1000;2.6250;11 19 26 28
71;4;45.3625;34.0000;1.7500;0.0000;6.8000;2.8125;7 11 19 32
72;7;50.8495;34.0000;2.6667;0.8400;10.2000;3.1429;7 11 19 23 26 28 36
74;4;43.9975;34.0000;1.0000;0.7100;5.1000;3.1875;7 19 26 32
76;4;43.8917;34.0000;1.6667;0.0000;5.1000;3.1250;11 19 26 28
77;5;46.9017;34.0000;3.0000;0.2517;6.8000;2.8500;7 11 20 26 37
79;4;41.7875;34.0000;0.5000;0.0000;5.1000;2.1875;11 21 26 32
80;4;43.2458;34.0000;0.8333;0.0000;5.1000;3.3125;7 20 26 28
81;4;41.7925;34.0000;0.6667;0.2133;5.1000;1.8125;16 24 26 36
82;3;41.2667;34.0000;0.0000;0.0000;5.1000;2.1667;3 26 30
83;9;62.8694;34.0000;3.8750;7.3333;15.3000;2.3611;1 7 11 19 23 26 28 34 36
84;7;49.7662;34.0000;1.8333;0.8400;10.2000;2.8929;7 11 19 23 26 28 36
85;10;59.7767;34.0000;1.3333;5.7933;17.0000;1.6500;1 7 11 19 26 28 33 34 36 37
88;4;45.7892;34.0000;2.6667;0.7100;5.1000;3.3125;7 19 26 32
89;7;50.0021;34.0000;2.1667;0.7783;10.2000;2.8571;7 11 19 26 28 36 37
90;4;45.4250;34.0000;1.8750;0.0000;6.8000;2.7500;11 21 28 36
91;5;44.5000;34.0000;1.7500;0.0000;6.8000;1.9500;7 11 21 26 36
92;8;62.1875;34.0000;2.5000;9.0250;13.6000;3.0625;1 7 11 19 23 26 28 36
95;4;43.3492;34.0000;1.3333;0.1033;5.1000;2.8125;6 19 26 29
96;7;52.3971;34.0000;4.0000;0.8400;10.2000;3.3571;7 11 19 23 26 28 36
97;9;60.1481;34.0000;0.9375;7.2717;15.3000;2.6389;1 7 11 19 26 28 34 36 37
99;5;44.5267;34.0000;1.5000;0.1267;6.8000;2.1000;11 19 23 26 36
