id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;5;41.0000;32.0000;1.2500;0.0000;6.4000;1.3500;4 23 28 43 53
100;6;41.2750;32.0000;1.2500;0.0000;6.4000;1.6250;13 22 31 41 51 56
101;5;41.9750;32.0000;1.6250;0.0000;6.4000;1.9500;13 19 26 44 51
102;4;41.0875;32.0000;0.7500;0.0000;6.4000;1.9375;9 24 27 39
106;5;42.9500;32.0000;1.7500;0.0000;6.4000;2.8000;13 20 26 41 53
107;8;41.6500;32.0000;1.2500;0.0000;6.4000;2.0000;13 23 30 43 45 46 53 57
110;5;41.9500;32.0000;0.5000;0.0000;6.4000;3.0500;12 20 32 43 57
111;9;41.5389;32.0000;1.0000;0.0000;6.4000;2.1389;4 23 31 43 46 50 53 55 57
112;3;42.9833;38.0000;1.0000;0.0000;1.9000;2.0833;23 49 53
113;6;40.6500;32.0000;0.8750;0.0000;6.4000;1.3750;13 19 31 43 51 56
114;4;42.7125;32.0000;2.7500;0.0000;6.4000;1.5625;12 20 29 39
117;7;42.3286;32.0000;1.7500;0.0000;6.4000;2.1786;4 17 30 43 49 52 53
118;4;41.0875;32.0000;1.2500;0.0000;6.4000;1.4375;13 22 31 38
120;8;41.3687;32.0000;1.7500;0.0000;6.4000;1.2188;4 20 29 41 45 47 50 53
121;4;42.0200;34.0000;0.8333;0.0867;5.1000;2.0000;13 18 39 53
123;3;41.4333;36.0000;0.0000;0.0000;3.6000;1.8333;4 23 53
124;7;41.4000;32.0000;1.2500;0.0000;6.4000;1.7500;12 23 32 43 51 53 56
125;9;40.8306;32.0000;0.6250;0.0000;6.4000;1.8056;11 20 26 41 45 47 48 53 56
126;5;42.9500;32.0000;2.5000;0.0000;6.4000;2.0500;2 23 30 38 51
127;5;41.9750;32.0000;1.1250;0.0000;6.4000;2.4500;13 23 32 43 53
130;9;42.9278;32.0000;2.0000;0.0000;6.4000;2.5278;11 20 28 43 46 49 52 53 55
15;4;41.6500;32.0000;0.8750;0.0000;6.4000;2.3750;13 21 26 44
18;9;42.0250;32.0000;0.8750;0.0000;6.4000;2.7500;4 22 31 39 45 51 53 56 57
19;5;41.6250;32.0000;0.8750;0.0000;6.4000;2.3500;10 17 31 39 53
2;4;42.7042;34.0000;1.6667;0.0000;5.1000;1.9375;13 18 43 53
21;4;42.2125;32.0000;1.5000;0.0000;6.4000;2.3125;5 21 27 43
23;6;42.2750;32.0000;1.7500;0.0000;6.4000;2.1250;3 19 30 41 46 53
24;5;41.7500;32.0000;0.7500;0.0000;6.4000;2.6000;2 23 31 43 53
27;4;41.9750;34.0000;1.0000;0.0000;5.1000;1.8750;10 18 39 49
28;5;41.4750;32.0000;0.8750;0.0000;6.4000;2.2000;13 20 27 43 53
29;4;41.4625;32.0000;0.6250;0.0000;6.4000;2.4375;12 23 27 41
3;6;42.1917;32.0000;1.0000;0.0000;6.4000;2.7917;12 23 31 44 45 53
31;8;41.7750;32.0000;1.7500;0.0000;6.4000;1.6250;4 19 28 39 45 53 56 57
32;5;43.1500;32.0000;2.2500;0.0000;6.4000;2.5000;13 23 27 43 53
33;6;40.9417;32.0000;0.8750;0.0000;6.4000;1.6667;4 23 31 41 45 53
34;6;41.4417;32.0000;1.2500;0.0000;6.4000;1.7917;4 23 26 42 51 53
35;4;40.8917;34.0000;0.1667;0.0000;5.1000;1.6250;13 17 43 53
36;5;41.1000;32.0000;1.2500;0.0000;6.4000;1.4500;4 18 31 39 56
37;4;40.7125;32.0000;0.1250;0.0000;6.4000;2.1875;13 22 30 35
41;6;40.7333;32.0000;0.6250;0.0000;6.4000;1.7083;13 16 28 43 46 53
42;7;42.1857;32.0000;2.2500;0.0000;6.4000;1.5357;4 23 33 37 45 46 53
45;5;42.2333;34.0000;0.8333;0.0000;5.1000;2.3000;10 18 43 49 53
46;5;42.6000;32.0000;2.2500;0.0000;6.4000;1.9500;12 23 28 43 49
48;7;42.2571;32.0000;1.5000;0.0000;6.4000;2.3571;13 20 30 41 48 49 53
49;4;41.5250;32.0000;0.5000;0.0000;6.4000;2.6250;13 20 27 43
5;7;41.1857;32.0000;0.5000;0.0000;6.4000;2.2857;13 17 31 43 49 52 53
53;7;43.2929;32.0000;2.7500;0.0000;6.4000;2.1429;13 20 29 41 48 51 53
54;7;40.6143;32.0000;0.2500;0.0000;6.4000;1.9643;2 24 31 38 48 51 53
56;11;41.0250;32.0000;0.3750;0.0000;6.4000;2.2500;9 16 31 41 46 48 49 50 52 53 55
57;4;42.8375;32.0000;2.2500;0.0000;6.4000;2.1875;4 23 30 39
58;7;40.5071;32.0000;0.2500;0.0000;6.4000;1.8571;4 22 26 43 48 53 55
59;5;41.5250;32.0000;1.1250;0.0000;6.4000;2.0000;5 18 26 43 52
6;6;43.4000;32.0000;2.2500;0.0000;6.4000;2.7500;8 18 27 42 53 57
61;4;42.3375;32.0000;1.5000;0.0000;6.4000;2.4375;2 19 31 41
62;5;41.4750;32.0000;0.6250;0.0000;6.4000;2.4500;13 23 27 38 53
63;5;41.8250;32.0000;1.6250;0.0000;6.4000;1.8000;10 17 26 41 53
65;6;41.1500;32.0000;0.3750;0.0000;6.4000;2.3750;4 16 27 44 48 53
67;4;41.5250;32.0000;1.0000;0.0000;6.4000;2.1250;2 18 27 43
68;2;41.4000;38.0000;0.0000;0.0000;1.9000;1.5000;11 49
7;4;41.9000;32.0000;1.7500;0.0000;6.4000;1.7500;2 21 27 38
71;6;41.9833;32.0000;1.7500;0.0000;6.4000;1.8333;11 17 29 41 49 52
72;8;41.7437;32.0000;1.0000;0.0000;6.4000;2.3438;2 23 31 42 46 50 53 55
74;7;41.1857;32.0000;0.2500;0.0000;6.4000;2.5357;7 17 28 35 49 52 53
76;4;41.4625;32.0000;0.8750;0.0000;6.4000;2.1875;3 23 30 43
77;4;42.1500;32.0000;1.7500;0.0000;6.4000;2.0000;3 22 30 43
79;4;42.3500;34.0000;0.5000;0.0000;5.1000;2.7500;7 20 43 53
80;4;40.7125;32.0000;0.2500;0.0000;6.4000;2.0625;3 17 27 41
81;5;40.6500;32.0000;0.2500;0.0000;6.4000;2.0000;1 16 28 40 53
82;4;40.5875;32.0000;0.5000;0.0000;6.4000;1.6875;13 18 26 43
83;14;42.6500;32.0000;2.0000;0.0000;6.4000;2.2500;13 23 31 42 45 46 47 48 49 50 52 53 55 56
84;7;41.3464;32.0000;0.3750;0.0000;6.4000;2.5714;12 20 31 38 51 53 56
85;13;40.1404;32.0000;0.6250;0.0000;6.4000;1.1154;1 21 29 41 45 46 47 48 49 50 52 53 55
88;6;42.1500;32.0000;1.5000;0.0000;6.4000;2.2500;2 23 27 41 49 52
89;8;41.9000;32.0000;1.2500;0.0000;6.4000;2.2500;11 23 27 41 49 50 52 53
90;8;41.1500;32.0000;0.2500;0.0000;6.4000;2.5000;13 17 27 40 53 55 56 57
91;7;40.9357;32.0000;1.0000;0.0000;6.4000;1.5357;12 23 31 43 53 55 56
92;9;41.9278;32.0000;0.7500;0.0000;6.4000;2.7778;13 22 31 38 50 51 53 56 57
95;4;42.1500;32.0000;1.5000;0.0000;6.4000;2.2500;13 23 27 41
96;6;43.9417;32.0000;3.0000;0.0000;6.4000;2.5417;4 21 27 38 48 53
97;9;41.7333;32.0000;1.2500;0.0000;6.4000;2.0833;9 21 28 40 47 48 53 56 57
99;7;41.5607;32.0000;1.3750;0.0000;6.4000;1.7857;10 20 29 39 51 53 56
