id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;1;1041.2500;40.0000;1000.0000;0.0000;0.0000;1.2500;21
100;2;1041.6250;40.0000;1000.0000;0.0000;0.0000;1.6250;21 23
101;4;1042.8125;40.0000;1000.0000;0.0000;0.0000;2.8125;5 15 21 27
102;1;1042.2500;40.0000;1000.0000;0.0000;0.0000;2.2500;23
106;4;1042.7500;40.0000;1000.0000;0.0000;0.0000;2.7500;10 14 15 27
107;5;1041.6000;40.0000;1000.0000;0.0000;0.0000;1.6000;7 14 17 19 21
110;4;1042.3750;40.0000;1000.0000;0.0000;0.0000;2.3750;7 15 19 27
111;7;1041.9286;40.0000;1000.0000;0.0000;0.0000;1.9286;0 7 17 19 21 24 30
112;1;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;12
113;3;1041.9167;40.0000;1000.0000;0.0000;0.0000;1.9167;3 9 21
114;5;1041.2500;40.0000;1000.0000;0.0000;0.0000;1.2500;5 13 16 26 28
117;4;1041.8125;40.0000;1000.0000;0.0000;0.0000;1.8125;10 12 14 21
118;1;1041.5000;40.0000;1000.0000;0.0000;0.0000;1.5000;23
120;4;1041.4375;40.0000;1000.0000;0.0000;0.0000;1.4375;17 21 23 30
121;1;1041.7500;40.0000;1000.0000;0.0000;0.0000;1.7500;14
123;1;1041.7500;40.0000;1000.0000;0.0000;0.0000;1.7500;21
124;4;1042.1875;40.0000;1000.0000;0.0000;0.0000;2.1875;15 20 21 27
125;8;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;0 12 14 21 23 24 27 29
126;3;1042.5000;40.0000;1000.0000;0.0000;0.0000;2.5000;10 21 23
127;2;1042.1250;40.0000;1000.0000;0.0000;0.0000;2.1250;10 21
130;4;1042.0625;40.0000;1000.0000;0.0000;0.0000;2.0625;10 12 14 21
15;4;1042.5625;40.0000;1000.0000;0.0000;0.0000;2.5625;10 12 14 21
18;8;1042.8438;40.0000;1000.0000;0.0000;0.0000;2.8438;9 10 14 15 16 21 23 27
19;4;1042.1875;40.0000;1000.0000;0.0000;0.0000;2.1875;0 7 14 21
2;1;1041.5000;40.0000;1000.0000;0.0000;0.0000;1.5000;14
21;4;1042.3750;40.0000;1000.0000;0.0000;0.0000;2.3750;10 12 14 24
