id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;6;39.0950;28.0000;0.9450;0.0000;8.4000;1.7500;7 12 14 26 39 52
100;8;43.9267;28.0000;2.0562;0.4517;11.2000;2.2188;10 21 30 37 45 49 53 59
101;6;40.5967;28.0000;1.1550;0.0000;8.4000;3.0417;3 19 33 34 55 59
102;6;39.5500;28.0000;0.4833;0.0000;8.4000;2.6667;6 20 22 30 37 55
106;6;40.4850;28.0000;1.5017;0.0000;8.4000;2.5833;6 16 21 33 36 55
107;5;40.1780;28.0000;1.4780;0.0000;8.4000;2.3000;1 24 39 49 59
110;6;39.5417;28.0000;0.6000;0.0000;8.4000;2.5417;8 12 15 31 43 52
111;8;42.5113;28.0000;0.9363;0.0000;11.2000;2.3750;10 20 21 27 37 49 53 59
112;6;41.1917;28.0000;2.3333;0.0000;8.4000;2.4583;4 14 33 39 50 60
113;5;39.3500;28.0000;0.7500;0.0000;8.4000;2.2000;1 30 38 49 59
114;6;39.8583;28.0000;2.0000;0.0000;8.4000;1.4583;3 14 28 39 50 56
117;6;39.5483;28.0000;1.0650;0.0000;8.4000;2.0833;10 14 26 37 51 59
118;6;39.7467;28.0000;1.0550;0.0000;8.4000;2.2917;11 13 23 37 53 56
120;10;47.1007;28.0000;1.0540;1.1467;15.4000;1.5000;2 27 34 37 45 49 53 55 56 59
121;6;38.8383;28.0000;0.4800;0.0000;8.4000;1.9583;10 18 20 28 41 50
123;6;39.3933;28.0000;0.8267;0.0000;8.4000;2.1667;10 15 20 33 36 54
124;7;40.3729;28.0000;0.4657;0.0000;9.8000;2.1071;6 16 18 27 35 53 55
125;11;48.0383;28.0000;0.7955;0.4883;16.8000;1.9545;2 14 20 27 37 49 53 55 56 59 60
126;9;46.8500;28.0000;2.7778;0.0000;12.6000;3.4722;5 12 20 21 27 37 45 49 53
127;6;39.2267;28.0000;0.5350;0.0000;8.4000;2.2917;11 19 20 28 36 51
130;6;40.0617;28.0000;1.2033;0.0000;8.4000;2.4583;3 21 24 37 45 56
15;6;40.9650;28.0000;1.1483;0.0000;8.4000;3.4167;10 21 30 34 49 60
18;11;50.1812;28.0000;0.9891;1.0967;16.8000;3.2955;2 20 21 23 34 37 45 49 53 55 59
19;6;38.9017;28.0000;0.3767;0.0000;8.4000;2.1250;10 16 21 27 34 45
2;6;39.6917;28.0000;1.8333;0.0000;8.4000;1.4583;11 22 31 43 52 60
21;6;39.8367;28.0000;0.6867;0.0000;8.4000;2.7500;11 13 25 37 51 58
23;9;44.1672;28.0000;1.3689;0.0317;12.6000;2.1667;10 19 27 34 37 45 55 59 60
