id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;5;39.1500;28.0000;0.8500;0.0000;8.4000;1.9000;11 14 37 46 54
100;5;40.8500;28.0000;1.0000;0.0000;9.8000;2.0500;10 17 21 35 51
101;4;39.7333;28.0000;1.4583;0.0000;8.4000;1.8750;11 24 32 54
102;4;39.1500;28.0000;0.3750;0.0000;8.4000;2.3750;6 17 35 54
106;4;40.6500;28.0000;1.6250;0.0000;8.4000;2.6250;7 14 31 50
107;5;40.3000;28.0000;1.6500;0.0000;8.4000;2.2500;11 18 37 49 53
110;4;39.1292;28.0000;0.2917;0.0000;8.4000;2.4375;6 17 34 51
111;5;39.4000;28.0000;0.8500;0.0000;8.4000;2.1500;10 21 36 43 54
112;4;41.3100;28.0000;2.5000;0.0350;8.4000;2.3750;23 37 47 52
113;5;38.3500;28.0000;0.7000;0.0000;8.4000;1.2500;11 22 37 47 55
114;5;42.3000;30.0000;2.8000;0.0000;7.5000;2.0000;9 14 42 47 52
117;4;39.0458;28.0000;0.9583;0.0000;8.4000;1.6875;10 15 35 54
118;4;39.9000;28.0000;1.5000;0.0000;8.4000;2.0000;11 22 30 51
120;8;44.6146;28.0000;0.8333;0.0000;14.0000;1.7812;10 11 17 18 22 24 31 51
121;5;40.3000;28.0000;1.6000;0.0000;8.4000;2.3000;13 14 37 47 52
123;5;39.3500;28.0000;0.7000;0.0000;8.4000;2.2500;9 17 37 48 54
124;4;40.6125;28.0000;1.3125;0.0000;9.8000;1.5000;7 11 16 27
125;6;41.1167;28.0000;0.1667;0.0000;11.2000;1.7500;3 10 17 36 38 54
126;4;41.4000;28.0000;2.5000;0.0000;8.4000;2.5000;3 37 49 51
127;4;39.3792;28.0000;1.1667;0.0000;8.4000;1.8125;6 17 33 54
130;4;39.7125;28.0000;1.5000;0.0000;8.4000;1.8125;10 18 30 54
15;5;40.3500;30.0000;0.6000;0.0000;7.5000;2.2500;6 22 41 46 53
18;5;41.7500;28.0000;1.1000;0.0000;9.8000;2.8500;3 21 36 38 54
19;4;40.6700;28.0000;0.7292;0.0783;9.8000;2.0625;5 15 34 55
2;5;41.0500;30.0000;1.2000;0.0000;7.5000;2.3500;8 18 43 47 51
21;4;38.9208;28.0000;0.8333;0.0000;8.4000;1.6875;8 24 34 50
23;5;39.7000;28.0000;0.9500;0.0000;8.4000;2.3500;9 21 36 41 53
24;4;39.3375;28.0000;0.9375;0.0000;8.4000;2.0000;4 37 49 53
27;4;39.8750;30.0000;0.6250;0.0000;7.5000;1.7500;1 38 47 52
28;4;38.4000;28.0000;0.6250;0.0000;8.4000;1.3750;6 15 34 52
29;4;39.7500;30.0000;0.6250;0.0000;7.5000;1.6250;4 43 46 53
3;5;42.6500;28.0000;1.4000;0.0000;11.2000;2.0500;3 10 17 32 51
31;5;40.7167;28.0000;1.0667;0.0000;9.8000;1.8500;11 21 31 49 53
32;4;40.9000;28.0000;2.5000;0.0000;8.4000;2.0000;6 17 30 53
33;4;38.9000;28.0000;0.7500;0.0000;8.4000;1.7500;3 36 39 53
34;5;39.8500;28.0000;1.5000;0.0000;8.4000;1.9500;10 15 37 48 50
35;4;38.4625;28.0000;0.5000;0.0000;8.4000;1.5625;8 26 32 52
36;3;39.0211;28.0000;0.4444;0.3433;8.4000;1.8333;23 31 54
37;4;38.7125;28.0000;0.7500;0.0000;8.4000;1.5625;10 26 35 50
41;4;38.5458;28.0000;0.0833;0.0000;8.4000;2.0625;10 18 32 55
42;5;41.2850;28.0000;2.6000;0.3350;8.4000;1.9500;10 25 36 42 54
45;5;39.6300;28.0000;0.8500;0.0300;8.4000;2.3500;6 26 37 47 51
46;5;41.5500;28.0000;2.6000;0.0000;8.4000;2.5500;9 18 37 47 53
48;6;40.7583;28.0000;1.2500;0.0000;9.8000;1.7083;10 24 25 37 49 50
49;4;39.1500;28.0000;1.0000;0.0000;8.4000;1.7500;6 26 32 54
5;4;39.7750;28.0000;1.0625;0.0000;8.4000;2.3125;4 37 49 50
53;5;41.5000;28.0000;3.0000;0.0000;8.4000;2.1000;7 24 36 41 53
54;7;42.2000;28.0000;0.9286;0.0000;11.2000;2.0714;10 21 22 36 39 49 52
56;7;42.4500;28.0000;0.9643;0.0000;11.2000;2.2857;10 21 22 24 36 40 50
57;4;41.2125;28.0000;2.7500;0.0000;8.4000;2.0625;4 36 44 50
58;5;38.9500;28.0000;0.6000;0.0000;8.4000;1.9500;10 22 36 41 54
59;3;38.7333;28.0000;0.6667;0.0000;8.4000;1.6667;9 18 29
6;4;39.9208;28.0000;1.0833;0.0000;8.4000;2.4375;7 22 32 50
61;5;40.1000;28.0000;0.7500;0.0000;8.4000;2.9500;9 26 36 45 54
62;5;38.9500;28.0000;0.3000;0.0000;8.4000;2.2500;13 16 36 43 52
63;5;39.3000;28.0000;1.4000;0.0000;8.4000;1.5000;7 26 37 47 52
65;5;40.1500;28.0000;0.6000;0.0000;9.8000;1.7500;11 16 21 31 50
67;5;41.1500;30.0000;1.6000;0.0000;7.5000;2.0500;12 24 43 46 52
68;4;39.6500;28.0000;0.7500;0.0000;8.4000;2.5000;12 14 33 51
7;4;39.9000;28.0000;1.2500;0.0000;8.4000;2.2500;7 25 31 51
71;5;39.3500;28.0000;0.7000;0.0000;8.4000;2.2500;10 24 37 46 54
72;6;41.4250;28.0000;1.4167;0.0000;9.8000;2.2083;10 11 16 36 40 54
74;5;39.0000;28.0000;1.0000;0.0000;8.4000;1.6000;11 26 36 43 50
76;4;39.5042;28.0000;1.4167;0.0000;8.4000;1.6875;13 16 35 50
77;3;39.3167;28.0000;1.1667;0.0000;8.4000;1.7500;10 25 28
79;4;39.4208;28.0000;0.9583;0.0000;8.4000;2.0625;8 19 34 54
80;4;39.3583;28.0000;0.8333;0.0000;8.4000;2.1250;10 22 32 53
81;4;39.5250;28.0000;0.8750;0.0000;8.4000;2.2500;7 16 34 54
82;5;38.9000;28.0000;1.1000;0.0000;8.4000;1.4000;6 26 37 47 52
83;8;45.5688;28.0000;2.6250;0.0000;12.6000;2.3438;9 10 11 21 25 36 38 55
84;5;39.6500;28.0000;1.2000;0.0000;8.4000;2.0500;10 25 36 41 53
85;7;44.2910;28.0000;1.2857;0.2267;12.6000;2.1786;3 11 20 37 42 49 50
88;4;40.3375;28.0000;2.0000;0.0000;8.4000;1.9375;9 24 30 50
89;6;41.1333;28.0000;0.8750;0.0000;9.8000;2.4583;10 18 21 37 49 54
90;5;39.4000;28.0000;1.0000;0.0000;8.4000;2.0000;10 24 36 43 53
91;5;39.0500;28.0000;1.0000;0.0000;8.4000;1.6500;11 22 37 47 54
92;8;43.7421;28.0000;1.1250;0.0483;12.6000;1.9688;11 15 21 22 24 37 49 55
95;5;39.4500;28.0000;0.5500;0.0000;8.4000;2.5000;7 14 37 46 53
96;5;40.8000;28.0000;2.4000;0.0000;8.4000;2.0000;10 24 36 44 53
97;7;43.0881;28.0000;0.3810;0.0000;12.6000;2.1071;11 22 24 25 31 49 53
99;4;39.4625;28.0000;1.0000;0.0000;8.4000;2.0625;10 16 35 51
