id_aluno;num_materiais;fitness_total;cobertura;dificuldade;tempo;balanceamento;estilo;sequencia
1;10;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;3 4 9 11 13 19 21 30 33 34
100;3;1041.9167;40.0000;1000.0000;0.0000;0.0000;1.9167;2 8 25
101;5;1042.5000;40.0000;1000.0000;0.0000;0.0000;2.5000;4 8 9 25 28
102;5;1042.1500;40.0000;1000.0000;0.0000;0.0000;2.1500;0 4 8 25 27
106;3;1041.9167;40.0000;1000.0000;0.0000;0.0000;1.9167;8 25 32
107;4;1042.1250;40.0000;1000.0000;0.0000;0.0000;2.1250;8 25 29 33
110;3;1041.8333;40.0000;1000.0000;0.0000;0.0000;1.8333;8 9 25
111;11;1042.3636;40.0000;1000.0000;0.0000;0.0000;2.3636;5 8 13 14 23 24 25 28 35 36 37
112;2;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;11 12
113;14;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;1 4 6 7 9 17 18 19 20 21 27 28 30 34
114;9;1041.2500;40.0000;1000.0000;0.0000;0.0000;1.2500;1 4 7 17 19 20 21 27 30
117;7;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;3 11 12 29 31 32 33
118;11;1042.2500;40.0000;1000.0000;0.0000;0.0000;2.2500;5 10 14 15 16 22 23 24 35 36 37
120;8;1041.5312;40.0000;1000.0000;0.0000;0.0000;1.5312;2 3 11 12 29 33 36 37
121;5;1042.2500;40.0000;1000.0000;0.0000;0.0000;2.2500;3 8 11 12 33
123;3;1042.1667;40.0000;1000.0000;0.0000;0.0000;2.1667;8 25 33
124;13;1042.5000;40.0000;1000.0000;0.0000;0.0000;2.5000;3 4 8 9 11 12 13 19 20 28 30 33 34
125;7;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;2 3 8 25 29 33 37
126;8;1042.9375;40.0000;1000.0000;0.0000;0.0000;2.9375;0 3 8 18 25 29 31 32
127;3;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;8 31 32
130;7;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;3 11 12 29 31 32 33
15;5;1042.3000;40.0000;1000.0000;0.0000;0.0000;2.3000;3 8 25 31 32
18;7;1042.6071;40.0000;1000.0000;0.0000;0.0000;2.6071;0 2 8 25 29 31 32
19;4;1042.1250;40.0000;1000.0000;0.0000;0.0000;2.1250;3 8 25 29
2;4;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;3 11 12 33
21;3;1041.5833;40.0000;1000.0000;0.0000;0.0000;1.5833;8 31 32
23;11;1042.6364;40.0000;1000.0000;0.0000;0.0000;2.6364;3 8 11 12 14 25 29 31 32 33 37
24;5;1042.1500;40.0000;1000.0000;0.0000;0.0000;2.1500;3 8 25 31 32
27;4;1041.5000;40.0000;1000.0000;0.0000;0.0000;1.5000;3 11 12 33
28;3;1042.0833;40.0000;1000.0000;0.0000;0.0000;2.0833;8 31 32
29;3;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;4 8 25
3;4;1042.3125;40.0000;1000.0000;0.0000;0.0000;2.3125;2 8 31 32
31;3;1041.5000;40.0000;1000.0000;0.0000;0.0000;1.5000;2 8 25
32;3;1042.1667;40.0000;1000.0000;0.0000;0.0000;2.1667;8 25 33
33;8;1042.0312;40.0000;1000.0000;0.0000;0.0000;2.0312;2 3 8 11 12 25 29 33
34;5;1042.0500;40.0000;1000.0000;0.0000;0.0000;2.0500;2 3 11 12 33
35;4;1041.5000;40.0000;1000.0000;0.0000;0.0000;1.5000;3 11 12 33
36;7;1042.0000;40.0000;1000.0000;0.0000;0.0000;2.0000;1 8 13 19 25 27 34
37;5;1042.3000;40.0000;1000.0000;0.0000;0.0000;2.3000;3 8 25 31 32
41;6;1041.7083;40.0000;1000.0000;0.0000;0.0000;1.7083;10 15 16 23 24 25
42;10;1041.8500;40.0000;1000.0000;0.0000;0.0000;1.8500;3 11 12 14 25 29 33 35 36 37
