sigla,nome
ICHCC01,Histórico
ICHCC02,Gerações de Computadores
ICHCC03,Arquitetura de VonNeumann
ICHCC04,Big Data
ICHCC05,Computação em Núvem
ICHCC06,Inteligência Artificial
ICSN01,Sistema Numérico e Representação Numérica
ICSN02,Principais Sistemas Numéricos
ICSN03,Conversões entre bases numéricas
ICSN04,"Byte, Word e Unidades de Medidas de Armazenamento"
ICL01,O que é Lógica
ICL02,Lógica Proposicional e Proposições
ICL03,Principais Operadores Lógicos e Tabela Verdade
ICFA01,O que é um algoritmo
ICFA02,Representação de Algoritmos
ICFA03,Paradigmas de Programação
ICFBD01,Introdução aos Banco de Dados
ICFBD02,Modelo Relacional
ICFBD03,SQL
ICES01,Introdução a Engenharia de Software
