id_aluno;disciplina;sequencia_materiais
2;ICFA;1 4 30 32
2;ICFBDES;13 20 28 39 49
2;ICFSOOC;0
2;ICHCC;9 18 28 41 50 57
2;ICLSN;4 27
2;ICRC;11 17 21 33 37
3;ICFA;3 4 13 22 30 32 33
3;ICFBDES;2 23 27 41 49
3;ICFSOOC;0 10 17 21
3;ICHCC;1 26 35 51 16
3;ICLSN;1 4 29 34 50
3;ICRC;11 12 16 17 21 22 31 32 35 37
7;ICFA;1 2 30 38
7;ICFBDES;10 23 27 39 49
7;ICFSOOC;1 29
7;ICHCC;11 18 28 39 50 16
7;ICLSN;1 4 29 32 50
7;ICRC;8 32 37
15;ICFA;1 3 30 32
15;ICFBDES;13 20 27 41 49
15;ICFSOOC;10 17 21
15;ICHCC;11 22 33 41 50 16
15;ICLSN;1 4 28 29
15;ICRC;8 31 37
18;ICFA;0 1 30 32
18;ICFBDES;4 22 31 38 51
18;ICFSOOC;2 10 15 17 19 21 27 29
18;ICHCC;0 30 41 53 16
18;ICLSN;3 32 53
18;ICRC;2 8 25 32
19;ICFA;1 3 32 38
19;ICFBDES;13 23 27 41 49
19;ICFSOOC;14 17 21
19;ICHCC;11 18 31 35 51 61
19;ICLSN;1 4 27 29
19;ICRC;8 29
23;ICFA;0 1 30 32
23;ICFBDES;13 23 31 41 49
23;ICFSOOC;0 10 17 21
23;ICHCC;2 26 41 51 16
23;ICLSN;3 27
23;ICRC;3 10 17 21 29 37
24;ICFA;1 3 30 33
24;ICFBDES;13 23 27 41 49
24;ICFSOOC;14 17 21
24;ICHCC;11 18 26 40 50 16
24;ICLSN;13 17 29
24;ICRC;8 32 37
27;ICFA;1 5 30 32
27;ICFBDES;13 20 26 39 49
27;ICFSOOC;14 17 29
27;ICHCC;4 22 28 43 50 16
27;ICLSN;1 4 27 34 54
27;ICRC;10 15 22 33 37
28;ICFA;3 29
28;ICFBDES;13 23 27 41 49
28;ICFSOOC;5 21
28;ICHCC;2 30 43 51 20
28;ICLSN;1 29
28;ICRC;8 29
29;ICFA;0 31
29;ICFBDES;10 23 27 41 57
29;ICFSOOC;14 19 21
29;ICHCC;0 31 41 51 16
29;ICLSN;1 32 53
29;ICRC;8 29
33;ICFA;1 3 29 33
33;ICFBDES;13 23 31 41 55
33;ICFSOOC;7 13 17 21 26
33;ICHCC;1 26 41 51 16
33;ICLSN;1 4 27 34 54
33;ICRC;11 12 16 17 21 22 29 33 37
34;ICFA;1 3 30 33
34;ICFBDES;13 23 26 41 49
34;ICFSOOC;0 15 17 21
34;ICHCC;4 17 33 41 50 16
34;ICLSN;4 27
34;ICRC;12 16 21 29
35;ICFA;1 5 37 38
35;ICFBDES;13 20 26 39 49
35;ICFSOOC;12 17 24
35;ICHCC;11 22 33 43 51 61
